slug,ats,url,status,preview
"flip","ashby","https://api.ashbyhq.com/posting-api/job-board/flip?includeCompensation=true","{""jobs"": [{""id"": ""70f9c215-7e3b-4662-b06e-facff225c5e1"", ""title"": ""Initiativbewerbung"", ""department"": ""Initiative"", ""team"": ""Initiative"", ""employmentType"": ""FullTime"", ""location"": ","200"
"flip","greenhouse","https://boards-api.greenhouse.io/v1/boards/flip/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://job-boards.greenhouse.io/flip/jobs/5365808008"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": f","200"
"flip","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flip/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flipboard","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flipboard/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flipkart","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flipkart/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flock-freight","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flock-freight/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flockjay","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flockjay/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"floqast","lever","https://api.lever.co/v0/postings/floqast?mode=json","[{""additionalPlain"": ""#LI-JP1\n#LI-Remote\n#BI-Remote\n \n \nThe base pay range for this position is $94,000 - $126,000.  Compensation is not limited to base salary. FloQast values","200"
"floqast","smartrecruiters","https://api.smartrecruiters.com/v1/companies/floqast/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flowhub","ashby","https://api.ashbyhq.com/posting-api/job-board/flowhub?includeCompensation=true","{""jobs"": [], ""apiVersion"": ""1""}","200"
"flowhub","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flowhub/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flowr","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flowr/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fluke","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fluke/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flutterwave","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flutterwave/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flux-systems","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flux-systems/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fly-io","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fly-io/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flyhomes","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flyhomes/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flymya","recruitee","https://flymya.recruitee.com/api/offers","{""offers"": [{""careers_url"": ""https://careers.flymya.com/o/sales-customer-service-executive-associate-ticketing-agent-horetails"", ""position"": 68, ""department"": ""Reservation & Ticket","200"
"flymya","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flymya/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flynote","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flynote/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flytedesk","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flytedesk/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flywheel-sports","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flywheel-sports/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"flywire","smartrecruiters","https://api.smartrecruiters.com/v1/companies/flywire/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fnz","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fnz/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"food52","smartrecruiters","https://api.smartrecruiters.com/v1/companies/food52/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foodpanda","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foodpanda/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foodsby","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foodsby/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"forescout","smartrecruiters","https://api.smartrecruiters.com/v1/companies/forescout/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foresight-insurance","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foresight-insurance/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foretellix","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foretellix/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"forgerock","smartrecruiters","https://api.smartrecruiters.com/v1/companies/forgerock/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"form-energy","smartrecruiters","https://api.smartrecruiters.com/v1/companies/form-energy/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"forma-ai","smartrecruiters","https://api.smartrecruiters.com/v1/companies/forma-ai/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"formfactor","smartrecruiters","https://api.smartrecruiters.com/v1/companies/formfactor/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"formlabs","greenhouse","https://boards-api.greenhouse.io/v1/boards/formlabs/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://careers.formlabs.com/job/8073636/apply/?gh_jid=8073636"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_co","200"
"formlabs","smartrecruiters","https://api.smartrecruiters.com/v1/companies/formlabs/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"formstack","smartrecruiters","https://api.smartrecruiters.com/v1/companies/formstack/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fortinet","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fortinet/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"forto","ashby","https://api.ashbyhq.com/posting-api/job-board/forto?includeCompensation=true","{""jobs"": [{""id"": ""8bc2e4d5-3476-4a98-a110-676309b0d075"", ""title"": ""(Senior) Sales Manager (f/m/d) - West"", ""department"": ""Commercial"", ""team"": ""Sales - Germany"", ""employmentType"": ","200"
"forto","smartrecruiters","https://api.smartrecruiters.com/v1/companies/forto/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"forward","greenhouse","https://boards-api.greenhouse.io/v1/boards/forward/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://getfwd.com/careers?gh_jid=5129606007"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": false, ""re","200"
"forward","smartrecruiters","https://api.smartrecruiters.com/v1/companies/forward/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 6, ""content"": [{""id"": ""743999915523093"", ""name"": ""Sr Manager, Account Management - California"", ""uuid"": ""7cc3756c-9378-44c2-aa3c-6e6db59d272","200"
"foundation-medicine","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foundation-medicine/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foundry","greenhouse","https://boards-api.greenhouse.io/v1/boards/foundry/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://job-boards.greenhouse.io/foundry/jobs/7998310"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"": f","200"
"foundry","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foundry/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fourkites","greenhouse","https://boards-api.greenhouse.io/v1/boards/fourkites/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://job-boards.greenhouse.io/fourkites/jobs/8076930"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent"":","200"
"fourkites","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fourkites/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foursquare","ashby","https://api.ashbyhq.com/posting-api/job-board/foursquare?includeCompensation=true","{""jobs"": [{""id"": ""69cb2270-189a-475e-bf73-8b45e795a8cd"", ""title"": ""Account Executive"", ""department"": ""Sales"", ""team"": ""Sales"", ""employmentType"": ""FullTime"", ""location"": ""New York, ","200"
"foursquare","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foursquare/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"foxtrot","smartrecruiters","https://api.smartrecruiters.com/v1/companies/foxtrot/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fraazo","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fraazo/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"fractal-software","smartrecruiters","https://api.smartrecruiters.com/v1/companies/fractal-software/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"franshares","smartrecruiters","https://api.smartrecruiters.com/v1/companies/franshares/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freenome","greenhouse","https://boards-api.greenhouse.io/v1/boards/freenome/jobs?content=true","{""jobs"": [{""absolute_url"": ""https://job-boards.greenhouse.io/freenome/jobs/8609239002"", ""data_compliance"": [{""type"": ""gdpr"", ""requires_consent"": false, ""requires_processing_consent","200"
"freenome","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freenome/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freetrade","ashby","https://api.ashbyhq.com/posting-api/job-board/freetrade?includeCompensation=true","{""jobs"": [{""id"": ""c336ac7d-dc7d-4cd1-9449-7e66da6c610e"", ""title"": ""Software Engineer (Mid-level)"", ""department"": ""Tech "", ""team"": ""Engineering"", ""employmentType"": ""FullTime"", ""loca","200"
"freetrade","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freetrade/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freightos","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freightos/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freightwaves","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freightwaves/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"frequency-therapeutics","smartrecruiters","https://api.smartrecruiters.com/v1/companies/frequency-therapeutics/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freshdirect","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freshdirect/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freshly","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freshly/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"freshworks","lever","https://api.lever.co/v0/postings/freshworks?mode=json","[]","200"
"freshworks","rippling","https://ats.rippling.com/en-US/freshworks/jobs","html","200"
"freshworks","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freshworks/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 152, ""content"": [{""id"": ""744000140911726"", ""name"": ""Lead - Business Systems Services"", ""uuid"": ""73ed06b9-4307-4589-96e9-5b6ede0c9bca"", ""jobA","200"
"friday-health-plans","smartrecruiters","https://api.smartrecruiters.com/v1/companies/friday-health-plans/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"front","smartrecruiters","https://api.smartrecruiters.com/v1/companies/front/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"frontdesk","smartrecruiters","https://api.smartrecruiters.com/v1/companies/frontdesk/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"frontrow","smartrecruiters","https://api.smartrecruiters.com/v1/companies/frontrow/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
"frubana","smartrecruiters","https://api.smartrecruiters.com/v1/companies/frubana/postings?limit=1","{""offset"": 0, ""limit"": 1, ""totalFound"": 0, ""content"": []}","200"
