orig_slug,candidate,ats,url,info
"flip","flip","ashby","https://api.ashbyhq.com/posting-api/job-board/flip?includeCompensation=true","jobs=9"
"flip","flip","greenhouse","https://boards-api.greenhouse.io/v1/boards/flip/jobs?content=true","jobs=12"
"floqast","floqast","lever","https://api.lever.co/v0/postings/floqast?mode=json","jobs=18"
"flowhub","flowhub","ashby","https://api.ashbyhq.com/posting-api/job-board/flowhub?includeCompensation=true","jobs=0"
"form-energy","formEnergy","ashby","https://api.ashbyhq.com/posting-api/job-board/formEnergy?includeCompensation=true","jobs=178"
"form-energy","formenergy","ashby","https://api.ashbyhq.com/posting-api/job-board/formenergy?includeCompensation=true","jobs=178"
"formlabs","formlabs","greenhouse","https://boards-api.greenhouse.io/v1/boards/formlabs/jobs?content=true","jobs=191"
"forto","forto","ashby","https://api.ashbyhq.com/posting-api/job-board/forto?includeCompensation=true","jobs=12"
"forward","forward","greenhouse","https://boards-api.greenhouse.io/v1/boards/forward/jobs?content=true","jobs=6"
"forward","forward","smartrecruiters","https://api.smartrecruiters.com/v1/companies/forward/postings?limit=1","jobs=6"
"foundry","foundry","greenhouse","https://boards-api.greenhouse.io/v1/boards/foundry/jobs?content=true","jobs=12"
"fourkites","fourkites","greenhouse","https://boards-api.greenhouse.io/v1/boards/fourkites/jobs?content=true","jobs=12"
"foursquare","foursquare","ashby","https://api.ashbyhq.com/posting-api/job-board/foursquare?includeCompensation=true","jobs=3"
"fractal-software","fractalSoftware","greenhouse","https://boards-api.greenhouse.io/v1/boards/fractalSoftware/jobs?content=true","jobs=1"
"fractal-software","fractalsoftware","greenhouse","https://boards-api.greenhouse.io/v1/boards/fractalsoftware/jobs?content=true","jobs=1"
"freenome","freenome","greenhouse","https://boards-api.greenhouse.io/v1/boards/freenome/jobs?content=true","jobs=28"
"freetrade","freetrade","ashby","https://api.ashbyhq.com/posting-api/job-board/freetrade?includeCompensation=true","jobs=7"
"freshworks","freshworks","lever","https://api.lever.co/v0/postings/freshworks?mode=json","jobs=0"
"freshworks","freshworks","rippling","https://ats.rippling.com/en-US/freshworks/jobs","html"
"freshworks","freshworks","smartrecruiters","https://api.smartrecruiters.com/v1/companies/freshworks/postings?limit=1","jobs=152"
"fubotv","fubotv","greenhouse","https://boards-api.greenhouse.io/v1/boards/fubotv/jobs?content=true","jobs=11"
"fullstory","fullstory","ashby","https://api.ashbyhq.com/posting-api/job-board/fullstory?includeCompensation=true","jobs=1"
"funding-circle","fundingCircle","ashby","https://api.ashbyhq.com/posting-api/job-board/fundingCircle?includeCompensation=true","jobs=32"
"funding-circle","fundingcircle","ashby","https://api.ashbyhq.com/posting-api/job-board/fundingcircle?includeCompensation=true","jobs=32"
"g2","g2","ashby","https://api.ashbyhq.com/posting-api/job-board/g2?includeCompensation=true","jobs=31"
"gemini","gemini","greenhouse","https://boards-api.greenhouse.io/v1/boards/gemini/jobs?content=true","jobs=46"
"genesis","genesis","ashby","https://api.ashbyhq.com/posting-api/job-board/genesis?includeCompensation=true","jobs=42"
"genesis","genesis","greenhouse","https://boards-api.greenhouse.io/v1/boards/genesis/jobs?content=true","jobs=0"
"genesis","genesis","lever","https://api.lever.co/v0/postings/genesis?mode=json","jobs=4"
"genius","genius","greenhouse","https://boards-api.greenhouse.io/v1/boards/genius/jobs?content=true","jobs=1"
"genome-medical","genome-medical","lever","https://api.lever.co/v0/postings/genome-medical?mode=json","jobs=0"
"getyourguide","getyourguide","ashby","https://api.ashbyhq.com/posting-api/job-board/getyourguide?includeCompensation=true","jobs=0"
"getyourguide","getyourguide","greenhouse","https://boards-api.greenhouse.io/v1/boards/getyourguide/jobs?content=true","jobs=56"
"ginkgo-bioworks","ginkgoBioworks","greenhouse","https://boards-api.greenhouse.io/v1/boards/ginkgoBioworks/jobs?content=true","jobs=18"
"ginkgo-bioworks","ginkgobioworks","greenhouse","https://boards-api.greenhouse.io/v1/boards/ginkgobioworks/jobs?content=true","jobs=18"
