slug,ats,career_url,hq_country
lighthouse-labs,unknown,,Canada
lightico,other,https://www.lightico.com/careers/,
lightricks,greenhouse,https://boards.greenhouse.io/lightricks,
lightspeed-commerce,ashby,https://jobs.ashbyhq.com/lightspeedhq,Canada
lilium,greenhouse,https://lilium.com/careers,Germany
limeade,unknown,https://www.limeade.com/careers,US
limelight,unknown,,US
lingoace,workable,https://apply.workable.com/lingoace/,
linkedin,greenhouse,https://boards.greenhouse.io/linkedin,US
linkfire,greenhouse,https://www.linkfire.com/careers,Denmark
linksquares,greenhouse,https://linksquares.com/careers/,US
linktree,gem,https://linktr.ee/s/about/careers,
liongard,rippling,https://www.liongard.com/work-at-liongard/,US
liv-up,unknown,https://www.livup.com.br/carreiras,
liveperson,greenhouse,https://boards.greenhouse.io/liveperson,US
liveramp,other,https://liveramp.com/careers,US
livetiles,unknown,,
livevox,unknown,,US
livspace,unknown,https://www.livspace.com/in/careers,
localize,other,https://localizejs.com/company/careers,US
loco,unknown,,
locomation,unknown,,US
loft,ashby,https://jobs.ashbyhq.com/loft,
loftium,unknown,,US
loftsmart,unknown,,
log-9-materials,unknown,https://log9materials.com/,
loggi,unknown,https://www.loggi.com/,
logically,lever,https://jobs.lever.co/logically,UK
logitech,other,https://www.logitech.com/en-ca/careers,Switzerland
loja-integrada,unknown,,
lola,unknown,,US
longi,other,https://www.saisirprudhommes.com/,
loom,ashby,https://jobs.ashbyhq.com/loom,US
loopme,unknown,https://loopme.com/careers/,UK
lora-dicarlo,unknown,https://loradicarlo.com/pages/careers,US
lordstown-motors,unknown,,US
lsports,unknown,,
lucid-diagnostics,unknown,,US
lucid-motors,greenhouse,https://boards.greenhouse.io/lucidmotors,US
lucid-software,greenhouse,https://boards.greenhouse.io/lucidsoftware,US
lucira-health,unknown,,US
ludeo,other,https://www.ludeo.com/careers,
ludia,unknown,,Canada
lululemon-studio,unknown,https://shop.lululemon.com/story/careers,Canada
lumenad,unknown,,
lumina-networks,unknown,,US
luminar,unknown,,US
lummo,unknown,https://www.lummo.com/careers,
lunchbox,unknown,https://lunchbox.io/careers,US
lunchtime,unknown,,
luno,greenhouse,https://boards.greenhouse.io/luno,UK
lunya,unknown,https://scamchecker.app/,US
lusha,unknown,https://www.lusha.com/careers,
luxury-presence,lever,https://jobs.lever.co/luxurypresence,US
lyra-health,lever,https://jobs.lever.co/lyrahealth,US
lyric,ashby,https://jobs.ashbyhq.com/lyric,US
lyst,workable,https://www.lyst.com/careers/,UK
lytics,other,https://www.lytics.com/company/careers/,US
m1,unknown,,US
made-com,unknown,,UK
made-renovation,unknown,,US
madefire,unknown,,US
madeiramadeira,other,https://www.madeiramadeira.com.br/landing/carreiras,
magic-eden,ashby,https://jobs.ashbyhq.com/magiceden,US
magic-leap,greenhouse,https://boards.greenhouse.io/magicleap,US
magicbricks,unknown,,
magnite,other,https://www.magnite.com/careers/,US
mainstreet,unknown,https://www.mainstreet.com/careers,US
mainvest,unknown,,US
make-school,unknown,,US
makemytrip,unknown,https://www.makemytrip.global/,
makerbot,unknown,,US
malwarebytes,unknown,https://www.malwarebytes.com/jobs,US
mamaearth,unknown,,
manhattan-associates,other,https://www.manh.com/about-us/careers,US
manomano,unknown,,France
mapbox,ashby,https://jobs.ashbyhq.com/mapbox,US
mapify,unknown,,Germany
mara,unknown,,
mariadb,unknown,https://mariadb.com/about-us/careers/,US
marin-software,unknown,,US
mark43,greenhouse,https://boards.greenhouse.io/mark43,US
marketsource,unknown,https://www.marketsource.com/careers/,US
markforged,greenhouse,https://boards.greenhouse.io/markforged,US
marqeta,greenhouse,https://boards.greenhouse.io/marqeta,US
marvell,unknown,https://www.marvell.com/company/careers.html,US
masse,unknown,,
masterclass,greenhouse,https://boards.greenhouse.io/masterclass,US
match-group,lever,https://jobs.lever.co/matchgroup,US
matrixport,unknown,https://www.bit.com/careers,
matter-labs,ashby,https://jobs.ashbyhq.com/matter-labs,Germany
matterport,unknown,https://matterport.com/careers,US
maven,ashby,https://jobs.ashbyhq.com/maven,US
maven-clinic,greenhouse,https://boards.greenhouse.io/mavenclinic,US
mavenir,other,https://www.mavenir.com/about/careers/,US
maxmilhas,other,https://maxmilhas.gupy.io,
may-mobility,greenhouse,https://boards.greenhouse.io/maymobility,US
mcmakler,unknown,https://www.mcmakler.de/karriere,Germany
me-poupe,unknown,,
meati,unknown,,US
